implementation,schedule,chunk_size,threads,points,clusters,iterations,runtime_ms,mean_runtime_ms,stddev_ms,speedup,efficiency,ipc,cache_miss_rate,ai_estimate,achieved_gflops,bandwidth_gbs,correct
soa,guided,1000,8,50000,10,61,37.8188,37.8188,9.16409,3.03297,0.379121,0,0,2.5,0.0793257,0.317303,1
sequential,static,1000,1,100000,10,106,380.258,380.258,65.2882,1,1,0,0,1.875,0.0157788,0.0841535,1
naive,static,100,1,100000,10,106,303.533,303.533,88.2069,1.25277,1.25277,0,0,1.875,0.0197672,0.105425,1
naive,static,100,2,100000,10,106,846.469,846.469,267.932,0.449228,0.224614,0,0,1.875,0.00708827,0.0378041,1
naive,static,100,4,100000,10,106,1545.1,1545.1,286.005,0.246106,0.0615265,0,0,1.875,0.00388325,0.0207107,1
naive,static,100,8,100000,10,106,2144.57,2144.57,625.203,0.177312,0.022164,0,0,1.875,0.00279776,0.0149214,1
naive,static,1000,1,100000,10,106,364.206,364.206,52.0532,1.04407,1.04407,0,0,1.875,0.0164742,0.0878624,1
naive,static,1000,2,100000,10,106,999.04,999.04,261.246,0.380623,0.190311,0,0,1.875,0.00600576,0.0320307,1
naive,static,1000,4,100000,10,106,1885.5,1885.5,514.124,0.201675,0.0504186,0,0,1.875,0.00318218,0.0169716,1
naive,static,1000,8,100000,10,106,2146.61,2146.61,572.611,0.177143,0.0221429,0,0,1.875,0.00279511,0.0149072,1
naive,dynamic,100,1,100000,10,106,301.754,301.754,77.81,1.26016,1.26016,0,0,1.875,0.0198838,0.106047,1
naive,dynamic,100,2,100000,10,106,896.997,896.997,339.335,0.423923,0.211961,0,0,1.875,0.00668898,0.0356746,1
naive,dynamic,100,4,100000,10,106,1522.53,1522.53,366.934,0.249754,0.0624384,0,0,1.875,0.00394081,0.0210176,1
naive,dynamic,100,8,100000,10,106,2122.62,2122.62,581.909,0.179145,0.0223932,0,0,1.875,0.00282669,0.0150757,1
naive,dynamic,1000,1,100000,10,106,299.829,299.829,72.6902,1.26825,1.26825,0,0,1.875,0.0200114,0.106728,1
naive,dynamic,1000,2,100000,10,106,756.239,756.239,228.514,0.502827,0.251413,0,0,1.875,0.007934,0.0423146,1
naive,dynamic,1000,4,100000,10,106,1265.85,1265.85,249.972,0.300397,0.0750993,0,0,1.875,0.0047399,0.0252795,1
naive,dynamic,1000,8,100000,10,106,2088.96,2088.96,584.181,0.182032,0.022754,0,0,1.875,0.00287224,0.0153186,1
naive,guided,100,1,100000,10,106,289.211,289.211,68.4012,1.31481,1.31481,0,0,1.875,0.0207461,0.110646,1
naive,guided,100,2,100000,10,106,880.312,880.312,256.851,0.431958,0.215979,0,0,1.875,0.00681577,0.0363508,1
naive,guided,100,4,100000,10,106,1706.23,1706.23,523.766,0.222864,0.055716,0,0,1.875,0.00351652,0.0187548,1
naive,guided,100,8,100000,10,106,2122.33,2122.33,653.072,0.17917,0.0223963,0,0,1.875,0.00282708,0.0150778,1
naive,guided,1000,1,100000,10,106,317.906,317.906,72.8662,1.19613,1.19613,0,0,1.875,0.0188735,0.100659,1
naive,guided,1000,2,100000,10,106,701.11,701.11,177.467,0.542365,0.271183,0,0,1.875,0.00855786,0.0456419,1
naive,guided,1000,4,100000,10,106,1741.82,1741.82,402.213,0.21831,0.0545775,0,0,1.875,0.00344467,0.0183716,1
naive,guided,1000,8,100000,10,106,2061.99,2061.99,590.929,0.184413,0.0230516,0,0,1.875,0.00290981,0.015519,1
optimized,static,100,1,100000,10,106,317.975,317.975,54.9361,1.19587,1.19587,0,0,1.875,0.0188694,0.100637,1
optimized,static,100,2,100000,10,106,330.955,330.955,106.018,1.14897,0.574485,0,0,1.875,0.0181293,0.0966898,1
optimized,static,100,4,100000,10,106,361.587,361.587,104.766,1.05164,0.262909,0,0,1.875,0.0165935,0.0884988,1
optimized,static,100,8,100000,10,106,223.423,223.423,67.6913,1.70196,0.212745,0,0,1.875,0.0268548,0.143226,1
optimized,static,1000,1,100000,10,106,261.037,261.037,57.1278,1.45672,1.45672,0,0,1.875,0.0229852,0.122588,1
optimized,static,1000,2,100000,10,106,303.853,303.853,85.0445,1.25145,0.625726,0,0,1.875,0.0197464,0.105314,1
optimized,static,1000,4,100000,10,106,322.463,322.463,72.5317,1.17923,0.294807,0,0,1.875,0.0186068,0.0992362,1
optimized,static,1000,8,100000,10,106,227.951,227.951,76.1814,1.66815,0.208519,0,0,1.875,0.0263214,0.140381,1
optimized,dynamic,100,1,100000,10,106,318.25,318.25,76.8531,1.19484,1.19484,0,0,1.875,0.0188531,0.10055,1
optimized,dynamic,100,2,100000,10,106,335.616,335.616,87.3288,1.13301,0.566507,0,0,1.875,0.0178776,0.0953471,1
optimized,dynamic,100,4,100000,10,106,308.251,308.251,89.1993,1.2336,0.308399,0,0,1.875,0.0194647,0.103812,1
optimized,dynamic,100,8,100000,10,106,190.447,190.447,64.9198,1.99666,0.249582,0,0,1.875,0.0315048,0.168026,1
optimized,dynamic,1000,1,100000,10,106,278.117,278.117,58.1672,1.36726,1.36726,0,0,1.875,0.0215737,0.11506,1
optimized,dynamic,1000,2,100000,10,106,349.387,349.387,53.1767,1.08836,0.544178,0,0,1.875,0.0171729,0.0915889,1
optimized,dynamic,1000,4,100000,10,106,344.956,344.956,65.9893,1.10234,0.275584,0,0,1.875,0.0173935,0.0927654,1
optimized,dynamic,1000,8,100000,10,106,211.336,211.336,62.3573,1.7993,0.224913,0,0,1.875,0.0283908,0.151418,1
optimized,guided,100,1,100000,10,106,297.911,297.911,53.346,1.27641,1.27641,0,0,1.875,0.0201403,0.107415,1
optimized,guided,100,2,100000,10,106,363.387,363.387,169.708,1.04643,0.523213,0,0,1.875,0.0165113,0.0880603,1
optimized,guided,100,4,100000,10,106,291.979,291.979,60.5849,1.30235,0.325586,0,0,1.875,0.0205494,0.109597,1
optimized,guided,100,8,100000,10,106,183.098,183.098,62.5601,2.0768,0.2596,0,0,1.875,0.0327694,0.17477,1
optimized,guided,1000,1,100000,10,106,246.516,246.516,46.4346,1.54253,1.54253,0,0,1.875,0.0243392,0.129809,1
optimized,guided,1000,2,100000,10,106,254.542,254.542,132.945,1.49389,0.746943,0,0,1.875,0.0235717,0.125716,1
optimized,guided,1000,4,100000,10,106,297.136,297.136,91.6491,1.27974,0.319935,0,0,1.875,0.0201928,0.107695,1
optimized,guided,1000,8,100000,10,106,205.819,205.819,74.197,1.84753,0.230942,0,0,1.875,0.0291518,0.155476,1
soa,static,100,1,100000,10,60,191.862,191.862,31.3469,1.98193,1.98193,0,0,2.5,0.0312725,0.12509,1
soa,static,100,2,100000,10,60,160.904,160.904,18.9653,2.36326,1.18163,0,0,2.5,0.0372894,0.149157,1
soa,static,100,4,100000,10,60,66.4456,66.4456,11.0453,5.72284,1.43071,0,0,2.5,0.0902995,0.361198,1
soa,static,100,8,100000,10,60,82.072,82.072,11.2331,4.63322,0.579152,0,0,2.5,0.0731065,0.292426,1
soa,static,1000,1,100000,10,60,211.69,211.69,28.7703,1.79629,1.79629,0,0,2.5,0.0283433,0.113373,1
soa,static,1000,2,100000,10,60,149.866,149.866,14.9526,2.53731,1.26865,0,0,2.5,0.0400356,0.160143,1
soa,static,1000,4,100000,10,60,66.776,66.776,6.35291,5.69452,1.42363,0,0,2.5,0.0898526,0.35941,1
soa,static,1000,8,100000,10,60,81.9706,81.9706,6.33081,4.63895,0.579869,0,0,2.5,0.0731969,0.292788,1
soa,dynamic,100,1,100000,10,60,234.71,234.71,53.8486,1.62012,1.62012,0,0,2.5,0.0255635,0.102254,1
soa,dynamic,100,2,100000,10,60,166.578,166.578,27.4702,2.28276,1.14138,0,0,2.5,0.0360191,0.144076,1
soa,dynamic,100,4,100000,10,60,76.3703,76.3703,7.74496,4.97913,1.24478,0,0,2.5,0.0785646,0.314258,1
soa,dynamic,100,8,100000,10,60,73.6789,73.6789,10.2906,5.16101,0.645126,0,0,2.5,0.0814344,0.325738,1
soa,dynamic,1000,1,100000,10,60,216.296,216.296,31.5367,1.75804,1.75804,0,0,2.5,0.0277398,0.110959,1
soa,dynamic,1000,2,100000,10,60,173.024,173.024,24.9874,2.19771,1.09886,0,0,2.5,0.0346772,0.138709,1
soa,dynamic,1000,4,100000,10,60,63.2982,63.2982,8.53426,6.0074,1.50185,0,0,2.5,0.0947894,0.379158,1
soa,dynamic,1000,8,100000,10,60,62.9048,62.9048,8.00828,6.04497,0.755621,0,0,2.5,0.0953822,0.381529,1
soa,guided,100,1,100000,10,60,205.951,205.951,28.897,1.84635,1.84635,0,0,2.5,0.0291332,0.116533,1
soa,guided,100,2,100000,10,60,149.113,149.113,14.5401,2.55013,1.27506,0,0,2.5,0.0402379,0.160952,1
soa,guided,100,4,100000,10,60,61.942,61.942,6.88408,6.13893,1.53473,0,0,2.5,0.0968648,0.387459,1
soa,guided,100,8,100000,10,60,67.5692,67.5692,9.01355,5.62768,0.70346,0,0,2.5,0.0887979,0.355192,1
soa,guided,1000,1,100000,10,60,195.988,195.988,32.3733,1.94021,1.94021,0,0,2.5,0.0306141,0.122456,1
soa,guided,1000,2,100000,10,60,150.906,150.906,14.5026,2.51984,1.25992,0,0,2.5,0.0397599,0.15904,1
soa,guided,1000,4,100000,10,60,84.2197,84.2197,14.6959,4.51506,1.12877,0,0,2.5,0.0712422,0.284969,1
soa,guided,1000,8,100000,10,60,79.5965,79.5965,9.20189,4.77731,0.597164,0,0,2.5,0.0753802,0.301521,1
